Threads,P-Classifier,P-Hash-MinPointID,DP-Hash-Sort-FNV1A,DP-Hash-Sort-MinPointID,DP-Hash-Fight-FNV1A,DP-Hash-Fight-MinPointID,DP-Hash-Count-FNV1A,DP-Hash-Count-MinPointID
1,233.71269999999998,124.6951,529.4198,246.5692,565.6355,676.7794,285.6938,73.25789999999999
2,122.10239999999999,64.46733,279.0665,130.25560000000002,299.2703,358.88,152.9195,39.16755
4,62.81647,33.14832,162.8342,70.15322,162.9252,199.4992,86.54274000000001,20.95259
8,33.77624,18.497329999999998,90.58608000000001,42.316019999999995,90.28414000000001,118.79549999999999,46.22783,12.10897
16,21.99126,11.93404,57.8688,28.346330000000002,55.03932999999999,80.54438,28.049439999999997,8.085001
32,14.303059999999999,8.321385,40.37174,21.60541,38.12184,63.347759999999994,21.16836,6.116707
64,10.162780000000001,6.460617000000001,33.80315,18.21849,29.25266,56.943979999999996,18.7755,5.600634
128,9.388815,6.138809,32.070029999999996,17.23415,25.994870000000002,55.228809999999996,18.29754,5.399456
