Threads,P-Classifier,P-Hash-MinPointID,DP-Hash-Sort-FNV1A,DP-Hash-Sort-MinPointID,DP-Hash-Fight-FNV1A,DP-Hash-Fight-MinPointID,DP-Hash-Count-FNV1A,DP-Hash-Count-MinPointID
1,126.9129,65.08954,215.93429999999998,111.8712,217.5654,335.9792,110.43299999999999,35.8023
2,64.86711,33.43501,115.06949999999999,59.72903,116.0865,180.113,59.601290000000006,19.0423
4,33.56917,17.26184,65.9358,31.91321,65.92885,97.4815,33.65966,10.03155
8,18.80488,9.745407,36.77266,18.57225,36.45928,57.47991,18.18984,5.710785
16,12.05172,6.392048,23.5064,12.83235,22.94998,38.93276,11.22915,3.8217109999999996
32,8.708542,4.637397,16.43768,9.314619,15.67471,29.23331,8.319397,2.855862
64,7.037026,3.502961,14.309540000000002,8.099135,12.51666,26.79137,7.710832999999999,2.59748
128,7.157809,3.2854979999999996,13.688490000000002,7.5264679999999995,11.272540000000001,26.358449999999998,7.596679,2.535801
