Threads,P-Classifier,P-Hash-MinPointID,DP-Hash-Sort-FNV1A,DP-Hash-Sort-MinPointID,DP-Hash-Fight-FNV1A,DP-Hash-Fight-MinPointID,DP-Hash-Count-FNV1A,DP-Hash-Count-MinPointID
1,150.719,65.13461,213.84050000000002,106.16810000000001,210.37959999999998,309.0919,106.3451,35.5723
2,77.88288,33.761559999999996,116.78979999999999,56.93452,113.25150000000001,166.57750000000001,57.71018,18.99441
4,39.39406,17.37422,67.43378,30.643510000000003,64.72246,91.92804,32.909620000000004,10.10109
8,21.19077,9.560251,37.29805,17.85759,35.68053,53.525549999999996,17.6194,5.682798
16,13.372530000000001,6.419547,23.05851,11.67038,21.883940000000003,36.18992,10.747800000000002,3.7075760000000004
32,8.857414,4.47941,15.556239999999999,8.185612,14.452850000000002,26.854840000000003,7.969398,2.6968620000000003
64,7.212886,3.4182569999999997,13.37582,7.143938,11.43531,25.96502,7.347356,2.479673
128,7.433421,3.214006,13.03255,7.059675,10.49891,25.64855,7.406022,2.423283
