Threads,P-Classifier,P-Hash-MinPointID,DP-Hash-Sort-FNV1A,DP-Hash-Sort-MinPointID,DP-Hash-Fight-FNV1A,DP-Hash-Fight-MinPointID,DP-Hash-Count-FNV1A,DP-Hash-Count-MinPointID
1,290.1145,127.53609999999999,540.5234,242.7984,536.5278000000001,651.6248,279.68600000000004,73.63766000000001
2,147.3134,65.04222,282.2698,127.06400000000001,281.9769,341.944,150.36759999999998,38.5735
4,75.49287000000001,33.392450000000004,162.8766,68.45085,158.1737,190.7006,82.96829,20.78511
8,39.733000000000004,18.184649999999998,91.13417000000001,39.76223,86.93917,111.67819999999999,44.50369,11.71673
16,24.031640000000003,11.60475,55.39464,26.47764,52.3571,74.76039,26.61375,7.607741
32,14.396289999999999,7.727512,37.015499999999996,18.53285,34.32533,56.35109,19.60614,5.679381
64,10.72137,6.079458000000001,31.42181,16.20779,26.47925,51.940740000000005,17.65744,5.154135999999999
128,10.14619,5.615197,30.26247,16.147460000000002,24.193260000000002,53.24210000000001,17.77048,5.068542
