Threads,P-Classifier,P-Hash-MinPointID,DP-Hash-Sort-FNV1A,DP-Hash-Sort-MinPointID,DP-Hash-Fight-FNV1A,DP-Hash-Fight-MinPointID,DP-Hash-Count-FNV1A,DP-Hash-Count-MinPointID
1,129.0137,65.23527,217.183,125.74929999999999,218.606,348.3335,108.1816,36.09576
2,66.76549,33.12612,115.1135,66.02671000000001,115.4958,182.3801,58.14473,18.97899
4,34.01612,17.16826,67.07909,35.59875,66.31275000000001,100.66799999999999,33.1371,10.15926
8,18.64315,9.535981,37.59744,20.54504,37.21575,58.72643000000001,17.91162,5.764645
16,12.47086,6.3420749999999995,23.70154,13.841310000000002,23.07072,39.330169999999995,10.94929,3.8114559999999997
32,8.333200999999999,4.420539,16.48322,9.663903999999999,15.68149,29.10178,8.214276,2.851902
64,7.1988140000000005,3.509102,14.24373,8.292224000000001,12.614329999999999,26.322719999999997,7.662528,2.5967510000000003
128,7.038382,3.3284469999999997,13.544929999999999,7.835382,11.30695,26.398989999999998,7.593096,2.524107
