Algorithm,JSM,F-15,JSM-tet,F-15-tet
S-Classifier,5.628089904785156,12.4014892578125,9.681617736816406,22.40204620361328
P-Classifier,5.757957458496094,12.700557708740234,9.81821060180664,22.72269058227539
S-Hash-MinPointID,16.638790130615234,36.081424713134766,32.12015151977539,74.21632766723633
P-Hash-MinPointID,17.03537368774414,36.97278594970703,32.516693115234375,75.18455123901367
DP-Hash-Sort-FNV1A,27.503799438476562,58.68082809448242,58.04676055908203,134.2113494873047
DP-Hash-Sort-MinPointID,27.50383758544922,58.68083572387695,58.04676818847656,134.3401870727539
DP-Hash-Fight-FNV1A,29.046836853027344,62.02398681640625,61.34661865234375,133.1739158630371
DP-Hash-Fight-MinPointID,23.960834503173828,51.0571403503418,50.9719352722168,117.9801025390625
DP-Hash-Count-FNV1A,7.8033294677734375,16.675086975097656,16.189895629882812,37.468536376953125
DP-Hash-Count-MinPointID,7.803356170654297,16.675113677978516,16.189918518066406,37.46855926513672
