Algorithm,JSM,F-15,JSM-tet,F-15-tet
P-Classifier,6.903475,8.735593,9.073431,14.333279999999998
P-Hash-MinPointID,2.532548,4.168844,4.060175,7.232864000000001
DP-Hash-Sort-FNV1A,7.5525459999999995,16.82041,12.6119,29.743740000000003
DP-Hash-Sort-MinPointID,5.140948,10.83241,9.851831,22.69536
DP-Hash-Fight-FNV1A,5.829119,12.10996,11.1923,25.84017
DP-Hash-Fight-MinPointID,17.924169999999997,28.243920000000003,44.1137,97.31764
DP-Hash-Count-FNV1A,5.008568,11.487449999999999,6.011801,14.67303
DP-Hash-Count-MinPointID,2.573543,5.4645269999999995,3.288161,7.60206
