Algorithm,JSM,F-15,JSM-tet,F-15-tet
P-Classifier,5.440202,4.198404999999999,7.126130000000001,9.400449
P-Hash-MinPointID,2.005623,3.382305,3.3042609999999994,6.094493
DP-Hash-Sort-FNV1A,8.356609,18.07494,13.52137,31.69237
DP-Hash-Sort-MinPointID,4.136750999999999,7.978107,7.7845960000000005,17.70589
DP-Hash-Fight-FNV1A,6.315637000000001,12.47217,11.24541,25.69455
DP-Hash-Fight-MinPointID,12.62434,17.39787,26.29918,54.98470999999999
DP-Hash-Count-FNV1A,6.319587,14.89349,7.6273979999999995,18.2317
DP-Hash-Count-MinPointID,1.686424,2.452572,2.519282,5.362472
