Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
DP-Hash-Sort-FNV1A,0.15,1.00,0.24,1.19,0.85,2.92,,,0.71,1.54,,
DP-Hash-Sort-MinPointID,0.47,3.17,0.39,1.91,0.92,3.15,,,1.46,3.18,,
DP-Hash-Fight-FNV1A,0.19,1.31,0.32,1.58,,,,,,,,
DP-Hash-Fight-MinPointID,0.80,5.45,0.57,2.81,,,,,,,,
DP-Hash-Count-FNV1A,0.25,1.71,0.30,1.48,0.65,2.21,0.62,2.86,0.50,1.09,1.26,1.14
DP-Hash-Count-MinPointID,0.36,2.43,0.20,1.00,0.29,1.00,0.22,1.00,0.46,1.00,1.11,1.00
