Algorithm,JSM,F-15,JSM-tet,F-15-tet
P-Classifier,5.474031999999999,4.244449,7.103465,8.813115999999999
P-Hash-MinPointID,2.021564,3.3716749999999998,3.323975,6.191523999999999
DP-Hash-Sort-FNV1A,8.41609,18.09683,13.721639999999999,32.14339
DP-Hash-Sort-MinPointID,4.110011999999999,7.9362189999999995,7.566391,17.29606
DP-Hash-Fight-FNV1A,6.289723,12.29683,11.27298,26.07892
DP-Hash-Fight-MinPointID,12.70119,17.29939,26.322840000000003,55.270320000000005
DP-Hash-Count-FNV1A,6.337993,14.906839999999999,7.597722,18.31122
DP-Hash-Count-MinPointID,1.6887409999999998,2.4646339999999998,2.53496,5.408038
