Algorithm,JSM,F-15,JSM-tet,F-15-tet
S-Classifier,604.1979,1668.1119999999999,784.0617,2111.103
P-Classifier,72.43030999999999,91.79843,127.0316,236.3147
S-Hash-MinPointID,46.06365,55.44147,75.91814,125.329
P-Hash-MinPointID,37.16774,60.76732,65.11295,126.8323
DP-Hash-Sort-FNV1A,130.62290000000002,291.9453,219.4296,539.2554
DP-Hash-Sort-MinPointID,64.95118,115.05969999999999,111.91,250.0748
DP-Hash-Fight-FNV1A,122.1348,260.657,216.48420000000002,570.1359
DP-Hash-Fight-MinPointID,196.575,223.2917,336.474,680.0461
DP-Hash-Count-FNV1A,78.66627,180.38569999999999,109.99539999999999,289.9005
DP-Hash-Count-MinPointID,24.45018,38.956869999999995,35.89936,73.58388
