Algorithm,JSM,F-15,JSM-tet,F-15-tet
P-Classifier,6.943989999999999,8.823384,8.754975,14.36018
P-Hash-MinPointID,2.533032,4.290895,4.0705,7.2230490000000005
DP-Hash-Sort-FNV1A,7.4815510000000005,16.737940000000002,12.55197,29.968169999999997
DP-Hash-Sort-MinPointID,5.016554999999999,10.55116,9.283323,21.56378
DP-Hash-Fight-FNV1A,5.7928820000000005,12.00301,11.14827,25.8904
DP-Hash-Fight-MinPointID,17.89183,27.88444,43.398520000000005,96.98085
DP-Hash-Count-FNV1A,5.0157110000000005,11.39613,5.9684989999999996,14.831219999999998
DP-Hash-Count-MinPointID,2.589297,5.426032999999999,3.2593609999999997,7.551029
