Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
DP-Hash-Sort-FNV1A,3366042977,3.07,6244392620,8.15,12943063399,21.53,12293554602,48.11,7741242765,9.06,17827834483,12.89
DP-Hash-Sort-MinPointID,1291504029,1.18,1329965486,1.74,1883057241,3.13,2223964730,8.7,2194564961,2.57,4514988944,3.26
DP-Hash-Fight-FNV1A,4625288619,4.22,4849115365,6.33,8859146778,14.74,11491539928,44.97,7326921127,8.58,16984385509,12.28
DP-Hash-Fight-MinPointID,19551782254,17.83,7683263054,10.03,4989998782,8.3,1268229628,4.96,9538667754,11.17,13906131976,10.05
DP-Hash-Count-FNV1A,3749358439,3.42,6850890742,8.95,13742850839,22.86,14501064803,56.74,8304566768,9.72,19110458827,13.81
DP-Hash-Count-MinPointID,1096359575,1.0,765802515,1.0,601045876,1.0,255555188,1.0,854032203,1.0,1383395506,1.0
