Algorithm,JSM,F-15,JSM-tet,F-15-tet
DP-Hash-Sort-FNV1A,1.462662,,,
DP-Hash-Sort-MinPointID,2.7282900000000003,,,
DP-Hash-Fight-FNV1A,1.478737,,,
DP-Hash-Fight-MinPointID,3.666054,,,
DP-Hash-Count-FNV1A,1.398117,3.006917,2.438945,6.4129570000000005
DP-Hash-Count-MinPointID,0.9685243,1.314792,1.752761,4.089898
