Algorithm,JSM,F-15,JSM-tet,F-15-tet
DP-Hash-Sort-FNV1A,1.461986,,,
DP-Hash-Sort-MinPointID,4.392081,,,
DP-Hash-Fight-FNV1A,1.477977,,,
DP-Hash-Fight-MinPointID,3.668259,,,
DP-Hash-Count-FNV1A,1.3681329999999998,2.941044,2.45302,6.4984660000000005
DP-Hash-Count-MinPointID,0.9496570999999999,1.31468,1.728347,4.068126
