Algorithm,JSM,F-15,JSM-tet,F-15-tet
DP-Hash-Sort-FNV1A,6303901791,12821127729,7773451342,17838580114
DP-Hash-Sort-MinPointID,1336420366,1825998214,2064865240,4335576887
DP-Hash-Fight-FNV1A,4860842609,8562532168,7294352847,16746169546
DP-Hash-Fight-MinPointID,7787455911,5053981743,9419273858,13760443504
DP-Hash-Count-FNV1A,6776531752,13688743331,8304623398,19124932222
DP-Hash-Count-MinPointID,751204706,510800156,892665211,1440381399
