Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
P-Classifier,15.40,9.54,5.18,3.14,4.63,1.97,6.53,1.90,7.48,3.08,10.39,2.05
P-Hash-MinPointID,3.29,2.04,1.97,1.19,3.23,1.38,4.92,1.43,3.28,1.35,5.71,1.13
DP-Hash-Sort-FNV1A,5.20,3.23,8.11,4.91,17.47,7.44,19.26,5.59,12.93,5.32,30.29,5.99
DP-Hash-Sort-MinPointID,3.55,2.20,3.85,2.33,7.39,3.15,10.00,2.91,7.05,2.90,16.07,3.18
DP-Hash-Fight-FNV1A,5.10,3.16,5.98,3.62,11.42,4.87,13.57,3.94,10.59,4.36,24.27,4.80
DP-Hash-Fight-MinPointID,22.91,14.19,12.49,7.57,16.82,7.17,14.16,4.12,25.57,10.53,53.04,10.49
DP-Hash-Count-FNV1A,3.32,2.06,6.09,3.69,14.67,6.25,11.99,3.48,7.44,3.06,17.66,3.49
DP-Hash-Count-MinPointID,1.61,1.00,1.65,1.00,2.35,1.00,3.44,1.00,2.43,1.00,5.06,1.00
