Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
P-Classifier,13.19,8.03,6.95,2.81,9.21,2.21,16.43,3.27,9.36,3.05,15.23,2.18
P-Hash-MinPointID,3.87,2.36,2.55,1.03,4.16,1.00,6.25,1.24,4.05,1.32,6.99,1.00
DP-Hash-Sort-FNV1A,4.88,2.97,7.25,2.93,16.27,3.91,15.76,3.14,12.42,4.05,28.30,4.05
DP-Hash-Sort-MinPointID,3.90,2.37,4.58,1.85,9.88,2.37,11.20,2.23,8.16,2.66,18.75,2.68
DP-Hash-Fight-FNV1A,4.76,2.90,5.42,2.19,11.14,2.68,13.57,2.70,10.26,3.34,23.77,3.40
DP-Hash-Fight-MinPointID,24.75,15.07,17.28,6.97,26.29,6.32,24.50,4.88,41.69,13.59,92.03,13.16
DP-Hash-Count-FNV1A,2.63,1.60,4.92,1.98,11.34,2.72,8.99,1.79,5.73,1.87,14.16,2.02
DP-Hash-Count-MinPointID,1.64,1.00,2.48,1.00,5.19,1.25,5.02,1.00,3.07,1.00,7.01,1.00
