Algorithm,JSM,F-15,JSM-tet,F-15-tet
DP-Hash-Sort-FNV1A,6304325302,12951215706,7636264994,17504256311
DP-Hash-Sort-MinPointID,1319073807,1821298685,2151575357,4396471697
DP-Hash-Fight-FNV1A,4880367168,8647262840,7276704804,16754364732
DP-Hash-Fight-MinPointID,7813134051,4973723447,9587923301,13743667781
DP-Hash-Count-FNV1A,6795051793,13684181910,8341148596,19351328560
DP-Hash-Count-MinPointID,758619066,557334181,889142938,1285016033
