Algorithm,Body,Body_ratio,JSM,JSM_ratio,F-15,F-15_ratio,Synthetic,Synthetic_ratio,JSM-tet,JSM-tet_ratio,F-15-tet,F-15-tet_ratio
DP-Hash-Sort-FNV1A,1.21,1.00,1.44,1.20,,,,,,,,
DP-Hash-Sort-MinPointID,3.90,3.23,1.45,1.21,,,,,,,,
DP-Hash-Fight-FNV1A,1.23,1.02,1.46,1.22,,,,,,,,
DP-Hash-Fight-MinPointID,6.29,5.21,3.66,3.05,,,,,,,,
DP-Hash-Count-FNV1A,1.27,1.05,1.46,1.22,3.21,2.02,2.83,2.44,2.44,1.22,6.79,1.55
DP-Hash-Count-MinPointID,2.23,1.85,1.20,1.00,1.59,1.00,1.16,1.00,2.00,1.00,4.39,1.00
